song_name,artist_name,primary_feeling,youtube_music_url,core_affect_quadrant,song_download_status,wav_filename,bpm,danceability,onset_rate,average_loudness,dynamic_complexity,spectral_energy,chords_changes_rate,pitch_salience,spectral_complexity,spectral_centroid,barkbands_flatness_db,zerocrossingrate,scaled_bpm,scaled_danceability,scaled_onset_rate,scaled_average_loudness,scaled_dynamic_complexity,scaled_spectral_energy,scaled_chords_changes_rate,scaled_pitch_salience,scaled_spectral_complexity,scaled_spectral_centroid,scaled_barkbands_flatness_db,scaled_zerocrossingrate
Aloha Ke Akua,Nahko And Medicine For The People,Hopeful,https://music.youtube.com/watch?v=suu2Brsj_gI,Quadrant 4,Success,alohakeakua.wav,114.930336,1.107789755,3.961772919,0.857309341,5.417354584,0.028986469,0.056633253,0.529450119,15.98834705,1398.321045,0.180225492,0.059855409,-0.373794736,-0.393107899,0.576826245,0.373894526,0.80209793,-0.208471348,-0.157514426,0.145801265,-0.423949778,-0.119963903,0.509678999,-0.16482892
Glycerine,Bush,Nostalgic,https://music.youtube.com/watch?v=ONHA6YHjI9o,Quadrant 4,Success,glycerine(remastered).wav,113.8035812,0.923464239,2.041132927,0.358242899,4.633227348,0.031188058,0.041811846,0.538483739,16.54220772,998.0210571,0.185605958,0.041346051,-0.41601457,-1.433505566,-1.989830567,-1.79007308,0.184366142,-0.01914849,-0.964299159,0.305355318,-0.335237263,-1.106181349,0.644985112,-1.201202732
Total Eclipse of the Heart,Bonnie Tyler,Nostalgic,https://music.youtube.com/watch?v=fSeFxzeo5Ts,Quadrant 4,Success,totaleclipseoftheheart.wav,132.169754,1.070195317,2.454376221,0.395754844,7.224388123,0.014705965,0.060091082,0.546570122,15.08820248,1704.719482,0.13628,0.08356373,0.272171332,-0.605304053,-1.437590834,-1.62742012,2.225670544,-1.436505203,0.030708166,0.448179035,-0.568126992,0.634908676,-0.595447158,1.162644622
Ms. Jackson,OutKast,Euphoric,https://music.youtube.com/watch?v=CSD2J8yaMmM,Quadrant 1,Success,ms.jackson.wav,95.02926636,1.58771801,4.631551266,0.885751545,6.058134556,0.019387163,0.105199933,0.552442312,11.82938576,1242.807617,0.135260567,0.06053577,-1.119493674,2.315774991,1.471887872,0.497220807,1.306901411,-1.03395151,2.486151991,0.551895122,-1.090095496,-0.503101701,-0.621083509,-0.126734226
Everyday Yours,Drake White,Happy,https://music.youtube.com/watch?v=0u2q548U2TQ,Quadrant 1,Success,everydayyours.wav,122.1691589,1.019897342,3.009168863,0.819840968,5.037938595,0.027069109,0.040534712,0.521634936,12.48398876,829.2763062,0.196009591,0.040060647,-0.102553911,-0.889203412,-0.696190926,0.211430496,0.50319578,-0.373352293,-1.033818349,0.00776755,-0.985246964,-1.521917103,0.906612106,-1.273174923
Drops of Jupiter (Tell Me),Train,Elated,https://music.youtube.com/watch?v=qthko5ppHcM,Quadrant 1,Success,dropsofjupiter(tellme).wav,161.7869568,1.037390828,3.335290194,0.863240123,3.628169298,0.031359512,0.037149493,0.54645896,19.77331161,1127.574707,0.145234138,0.052227996,1.381936639,-0.79046406,-0.260377063,0.399610581,-0.607413913,-0.004404521,-1.218088507,0.446215664,0.182292445,-0.78700055,-0.370271567,-0.591902138
Celibate Now,Girl in a Coma,Euphoric,https://music.youtube.com/watch?v=MrHVXDl1rk0,Quadrant 1,Success,celibatenow.wav,93.26912689,1.268644929,2.688727856,0.968538225,1.910326958,0.032436602,0.059704732,0.593131959,32.74790955,1850.682617,0.124185741,0.069924407,-1.185446618,0.51481495,-1.124413861,0.856186425,-1.960722115,0.08821847,0.009677688,1.270565833,2.260449048,0.994517455,-0.899589434,0.398953241
Heal the World,Michael Jackson,Inspired,https://music.youtube.com/watch?v=cyCMuCFCkdk,Quadrant 4,Success,healtheworld.wav,80.95548248,1.084716678,3.16649437,0.306430697,6.108873367,0.021216139,0.039748702,0.556277633,14.36458683,1059.355835,0.138648927,0.06025213,-1.646842499,-0.523340414,-0.485948202,-2.014732398,1.34687321,-0.876671035,-1.076603819,0.61963552,-0.684029361,-0.955071107,-0.535874194,-0.142615764
Us and Them,Pink Floyd,Powerful,https://music.youtube.com/watch?v=5wth9BScmGY,Quadrant 1,Success,usandthem.wav,144.3141785,0.971094012,2.367597342,0.304778725,4.44285202,0.020442443,0.036414012,0.584820211,13.26180077,646.1036987,0.205126226,0.030393127,0.727226493,-1.164666472,-1.553558221,-2.0218954,0.034389345,-0.943204043,-1.258123494,1.123761664,-0.8606639,-1.973198708,1.135874115,-1.814477574
Hold the Line,Toto,Melancholic,https://music.youtube.com/watch?v=ZP69PLBqFUo,Quadrant 3,Success,holdtheline.wav,96.25148773,1.226510882,3.799352884,0.905151188,3.770967484,0.019084157,0.070949942,0.576350451,20.65582466,2050.184814,0.099270195,0.109825842,-1.073696679,0.276995655,0.359775422,0.581338262,-0.494918166,-1.060008127,0.621796614,0.974166646,0.323645597,1.486030204,-1.526157037,2.633109731
